epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0089,1.42274,5.218,1.53543,0,0,0,0,1.96475,4.55341,2.45143,3.64032e-05,3.64032e-05,3.64032e-05
2,31.3566,1.30908,4.77737,1.47606,0,0,0,0,1.95255,4.5112,2.43388,7.26765e-05,7.26765e-05,7.26765e-05
3,46.1345,1.35358,4.12614,1.51552,0.2,0.0125,0.10625,0.05312,1.88919,4.63135,2.34351,0.000108217,0.000108217,0.000108217
4,60.7619,1.34238,3.76147,1.48256,0.08333,0.02788,0.06676,0.03397,1.82269,4.48617,2.30159,0.000107703,0.000107703,0.000107703
5,75.4071,1.29603,3.63564,1.44785,0.04278,0.11538,0.06552,0.03068,1.81451,4.39228,2.28532,0.000106604,0.000106604,0.000106604
6,89.4767,1.29942,3.33323,1.41462,0.04407,0.25769,0.09161,0.0492,1.81055,4.39025,2.27007,0.000105506,0.000105506,0.000105506
7,102.968,1.25948,3.23711,1.37525,0.43485,0.12544,0.14617,0.07463,1.77384,3.9826,2.29312,0.000104407,0.000104407,0.000104407
8,115.637,1.18975,3.11558,1.38962,0.43072,0.1727,0.2227,0.12428,1.7704,3.72973,2.2904,0.000103308,0.000103308,0.000103308
9,128.648,1.26706,3.01563,1.37215,0.4705,0.22617,0.25814,0.15448,1.78678,3.63839,2.32665,0.000102209,0.000102209,0.000102209
10,141.904,1.24257,2.78981,1.36759,0.44992,0.25692,0.31342,0.18394,1.7833,3.47455,2.31568,0.00010111,0.00010111,0.00010111
11,157.873,1.21304,2.78308,1.3398,0.48233,0.21326,0.32735,0.19758,1.69572,3.36977,2.25448,0.000100011,0.000100011,0.000100011
12,173.856,1.20167,2.65471,1.33248,0.4742,0.25164,0.35581,0.19833,1.80049,3.31884,2.32237,9.89121e-05,9.89121e-05,9.89121e-05
13,189.72,1.17003,2.58547,1.31945,0.32742,0.33206,0.3421,0.18428,1.82968,3.27034,2.31373,9.78132e-05,9.78132e-05,9.78132e-05
14,202.937,1.10476,2.39008,1.29686,0.33257,0.33399,0.34376,0.1759,1.72778,3.31622,2.25139,9.67143e-05,9.67143e-05,9.67143e-05
15,215.86,1.10946,2.52844,1.30124,0.3585,0.2763,0.38134,0.22241,1.66173,3.16473,2.20127,9.56154e-05,9.56154e-05,9.56154e-05
16,228.545,1.21202,2.35463,1.29876,0.38419,0.29071,0.38171,0.22996,1.66705,3.09389,2.19927,9.45165e-05,9.45165e-05,9.45165e-05
17,241.481,1.13245,2.19808,1.2947,0.33559,0.38973,0.36916,0.21566,1.68627,3.11685,2.22534,9.34176e-05,9.34176e-05,9.34176e-05
