epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9491,1.42274,5.218,1.53543,0,0,0,0,1.96475,4.55341,2.45143,3.64032e-05,3.64032e-05,3.64032e-05
2,27.4643,1.30908,4.77737,1.47606,0,0,0,0,1.95255,4.5112,2.43388,7.26765e-05,7.26765e-05,7.26765e-05
3,40.2375,1.35358,4.12614,1.51552,0.2,0.0125,0.10625,0.05312,1.88919,4.63135,2.34351,0.000108217,0.000108217,0.000108217
4,52.4531,1.34238,3.76147,1.48256,0.08333,0.02788,0.06676,0.03397,1.82269,4.48617,2.30159,0.000107703,0.000107703,0.000107703
5,64.7095,1.29603,3.63564,1.44785,0.04278,0.11538,0.06552,0.03068,1.81451,4.39228,2.28532,0.000106604,0.000106604,0.000106604
6,76.9603,1.29942,3.33323,1.41462,0.04407,0.25769,0.09161,0.0492,1.81055,4.39025,2.27007,0.000105506,0.000105506,0.000105506
7,89.3854,1.25948,3.23711,1.37525,0.43485,0.12544,0.14617,0.07463,1.77384,3.9826,2.29312,0.000104407,0.000104407,0.000104407
8,101.645,1.18975,3.11558,1.38962,0.43072,0.1727,0.2227,0.12428,1.7704,3.72973,2.2904,0.000103308,0.000103308,0.000103308
9,114.034,1.26706,3.01563,1.37215,0.4705,0.22617,0.25814,0.15448,1.78678,3.63839,2.32665,0.000102209,0.000102209,0.000102209
10,126.706,1.24257,2.78981,1.36759,0.44992,0.25692,0.31342,0.18394,1.7833,3.47455,2.31568,0.00010111,0.00010111,0.00010111
11,139.471,1.21304,2.78308,1.3398,0.48233,0.21326,0.32735,0.19758,1.69572,3.36977,2.25448,0.000100011,0.000100011,0.000100011
12,151.792,1.20167,2.65471,1.33248,0.4742,0.25164,0.35581,0.19833,1.80049,3.31884,2.32237,9.89121e-05,9.89121e-05,9.89121e-05
13,164.35,1.17003,2.58547,1.31945,0.32742,0.33206,0.3421,0.18428,1.82968,3.27034,2.31373,9.78132e-05,9.78132e-05,9.78132e-05
14,176.817,1.10476,2.39008,1.29686,0.33257,0.33399,0.34376,0.1759,1.72778,3.31622,2.25139,9.67143e-05,9.67143e-05,9.67143e-05
15,189.233,1.10946,2.52844,1.30124,0.3585,0.2763,0.38134,0.22241,1.66173,3.16473,2.20127,9.56154e-05,9.56154e-05,9.56154e-05
16,201.589,1.21202,2.35463,1.29876,0.38419,0.29071,0.38171,0.22996,1.66705,3.09389,2.19927,9.45165e-05,9.45165e-05,9.45165e-05
17,214.086,1.13245,2.19808,1.2947,0.33559,0.38973,0.36916,0.21566,1.68627,3.11685,2.22534,9.34176e-05,9.34176e-05,9.34176e-05
18,227.177,1.10037,2.28289,1.2962,0.40444,0.35157,0.3667,0.21468,1.68633,3.14933,2.24361,9.23187e-05,9.23187e-05,9.23187e-05
19,240.55,1.12766,2.18839,1.29487,0.38666,0.32482,0.38032,0.21737,1.69914,3.2017,2.23515,9.12198e-05,9.12198e-05,9.12198e-05
20,254.127,1.13348,2.11027,1.25848,0.39364,0.41502,0.41649,0.23354,1.75925,3.15364,2.27988,9.01209e-05,9.01209e-05,9.01209e-05
21,267.689,1.08277,2.06713,1.2566,0.42069,0.38322,0.42195,0.23865,1.7866,3.10393,2.28654,8.9022e-05,8.9022e-05,8.9022e-05
22,280.963,1.05633,1.97046,1.21045,0.47673,0.34801,0.42891,0.24067,1.75545,2.96651,2.27872,8.79231e-05,8.79231e-05,8.79231e-05
23,294.734,1.04683,1.96686,1.23453,0.42358,0.39382,0.45153,0.2581,1.70872,2.98744,2.24543,8.68242e-05,8.68242e-05,8.68242e-05
24,308.467,1.05865,1.93243,1.22733,0.49174,0.37766,0.45778,0.24843,1.7083,3.01213,2.19531,8.57253e-05,8.57253e-05,8.57253e-05
25,321.911,1.06534,1.91999,1.22312,0.47679,0.36532,0.44904,0.24213,1.74405,3.00433,2.20651,8.46264e-05,8.46264e-05,8.46264e-05
26,335.612,1.03035,1.785,1.20642,0.38104,0.37937,0.42281,0.23888,1.71966,3.19506,2.20039,8.35275e-05,8.35275e-05,8.35275e-05
27,349.233,1.02725,1.8932,1.2285,0.43133,0.39755,0.43088,0.24626,1.70801,3.18708,2.19213,8.24286e-05,8.24286e-05,8.24286e-05
28,362.798,1.0019,1.79891,1.23594,0.43327,0.38619,0.4482,0.2518,1.75453,3.06346,2.25815,8.13297e-05,8.13297e-05,8.13297e-05
29,376.232,1.00101,1.7731,1.19591,0.45799,0.38821,0.45673,0.24474,1.68709,3.00832,2.20028,8.02308e-05,8.02308e-05,8.02308e-05
30,389.656,1.01469,1.76215,1.23316,0.4625,0.33048,0.42249,0.23524,1.66633,3.0752,2.13641,7.91319e-05,7.91319e-05,7.91319e-05
31,403.175,1.0103,1.71399,1.17842,0.36166,0.40846,0.41604,0.23393,1.71047,3.01816,2.21376,7.8033e-05,7.8033e-05,7.8033e-05
32,416.638,1.01997,1.66451,1.20841,0.41142,0.39932,0.42201,0.24675,1.75677,3.01914,2.23713,7.69341e-05,7.69341e-05,7.69341e-05
33,429.948,1.00078,1.72667,1.19475,0.38729,0.41344,0.43954,0.24591,1.78309,3.06473,2.22109,7.58352e-05,7.58352e-05,7.58352e-05
34,443.444,0.99631,1.62233,1.18221,0.41677,0.40096,0.41582,0.23751,1.73626,3.12889,2.21601,7.47363e-05,7.47363e-05,7.47363e-05
35,456.932,0.96652,1.67665,1.19422,0.40595,0.39257,0.40172,0.23637,1.7149,3.11102,2.17923,7.36374e-05,7.36374e-05,7.36374e-05
36,470.358,0.98367,1.67209,1.18796,0.43852,0.39816,0.44544,0.26253,1.71407,3.00163,2.16654,7.25385e-05,7.25385e-05,7.25385e-05
37,483.592,0.96918,1.67264,1.18713,0.39048,0.43024,0.44859,0.26122,1.67556,3.02559,2.16807,7.14396e-05,7.14396e-05,7.14396e-05
38,496.89,0.95106,1.59771,1.18062,0.40075,0.4397,0.42399,0.23772,1.73306,2.91903,2.2095,7.03407e-05,7.03407e-05,7.03407e-05
39,510.584,0.95715,1.61597,1.17138,0.41096,0.43025,0.44212,0.24685,1.73296,2.88298,2.2357,6.92418e-05,6.92418e-05,6.92418e-05
