epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8514,1.61395,3.60054,1.8516,0.00774,0.65748,0.04666,0.01815,1.85537,3.87589,2.4011,0.000326087,0.000326087,0.000326087
2,25.0538,1.52037,2.70878,1.71335,0.86756,0.06154,0.13224,0.07158,1.8806,3.37424,2.46855,0.000652892,0.000652892,0.000652892
3,36.1412,1.44201,2.53784,1.64513,0.87032,0.06154,0.10396,0.04251,2.05125,3.78058,2.60673,0.000973097,0.000973097,0.000973097
4,47.2206,1.41937,2.34418,1.61146,0.86235,0.04615,0.08511,0.03588,2.05201,4.19566,2.6945,0.0009703,0.0009703,0.0009703
5,58.4296,1.40411,2.14418,1.58637,0.83323,0.14904,0.19467,0.09676,2.59152,5.61715,3.08265,0.0009604,0.0009604,0.0009604
6,69.5945,1.36723,2.03175,1.54708,0.82531,0.14134,0.13445,0.07061,2.32748,3.35796,2.83211,0.0009505,0.0009505,0.0009505
7,80.8105,1.34087,1.95121,1.53129,0.7875,0.08365,0.1348,0.07112,2.01732,4.34132,2.64041,0.0009406,0.0009406,0.0009406
8,91.8462,1.323,1.85955,1.50931,0.80982,0.12019,0.1181,0.04875,2.02384,3.57212,2.56311,0.0009307,0.0009307,0.0009307
9,103.569,1.28186,1.74534,1.47938,0.78042,0.14131,0.13773,0.0718,2.11413,3.40636,2.68658,0.0009208,0.0009208,0.0009208
10,115.478,1.22642,1.69743,1.44903,0.87332,0.11731,0.20273,0.06943,2.03752,3.343,2.63293,0.0009109,0.0009109,0.0009109
11,126.045,1.24402,1.61457,1.46124,0.73692,0.22644,0.18315,0.05997,2.01526,3.39638,2.52601,0.000901,0.000901,0.000901
12,136.248,1.22006,1.544,1.4256,0.76962,0.18269,0.19685,0.10037,1.95599,3.21826,2.53338,0.0008911,0.0008911,0.0008911
