epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4528,1.39331,5.21018,1.57036,0,0,0,0,1.97943,4.5443,2.48233,3.67016e-05,3.67016e-05,3.67016e-05
2,36.3106,1.37654,4.83025,1.5814,0,0,0,0,1.93113,4.59171,2.41837,7.2972e-05,7.2972e-05,7.2972e-05
3,53.314,1.40023,4.31145,1.58217,0.06667,0.0125,0.04408,0.02645,1.87437,4.72431,2.34693,0.00010851,0.00010851,0.00010851
4,68.8127,1.3693,3.87683,1.5214,0.02759,0.05,0.02863,0.01408,1.76643,4.53233,2.32635,0.000107703,0.000107703,0.000107703
5,84.4058,1.30516,3.71937,1.49088,0.03689,0.19327,0.05004,0.0221,1.69824,4.41048,2.25207,0.000106604,0.000106604,0.000106604
6,99.8715,1.32898,3.55101,1.51128,0.46703,0.10725,0.09125,0.04354,1.73532,4.31684,2.31049,0.000105506,0.000105506,0.000105506
7,115.427,1.33223,3.36818,1.48687,0.31194,0.125,0.12741,0.0517,1.80839,4.04143,2.36852,0.000104407,0.000104407,0.000104407
8,131.202,1.28977,3.4335,1.47848,0.32537,0.10522,0.19183,0.07243,1.68164,3.94024,2.25033,0.000103308,0.000103308,0.000103308
9,147.285,1.30255,3.20258,1.43722,0.38511,0.14327,0.17073,0.09137,1.71219,3.8763,2.29648,0.000102209,0.000102209,0.000102209
10,163.073,1.23028,3.04989,1.40505,0.4383,0.20333,0.2393,0.11948,1.68394,3.80883,2.26857,0.00010111,0.00010111,0.00010111
11,178.821,1.25156,3.09325,1.43263,0.36765,0.22308,0.22188,0.10435,1.68283,3.95621,2.25038,0.000100011,0.000100011,0.000100011
12,194.509,1.23423,2.82756,1.39052,0.39783,0.25615,0.25962,0.13454,1.68379,3.92296,2.25201,9.89121e-05,9.89121e-05,9.89121e-05
13,215.579,1.2363,2.84649,1.39558,0.47083,0.17019,0.25255,0.12167,1.70357,3.73341,2.32085,9.78132e-05,9.78132e-05,9.78132e-05
14,231.47,1.20131,2.78439,1.38569,0.50249,0.20769,0.30913,0.14839,1.68591,3.72455,2.30283,9.67143e-05,9.67143e-05,9.67143e-05
15,252.109,1.19447,2.74613,1.387,0.40089,0.24337,0.27304,0.13413,1.70465,3.83084,2.31863,9.56154e-05,9.56154e-05,9.56154e-05
