epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3517,1.38209,3.95561,1.46869,0.06933,0.23685,0.07554,0.0209,2.18887,4.88105,2.33278,3.64032e-05,3.64032e-05,3.64032e-05
2,42.3489,1.22237,2.32575,1.362,0.82252,0.17596,0.28241,0.11784,2.11807,4.28572,2.19741,7.26765e-05,7.26765e-05,7.26765e-05
3,63.0895,1.18795,1.86484,1.31938,0.74137,0.42483,0.36002,0.16819,1.95737,3.23716,2.03322,0.000108217,0.000108217,0.000108217
4,82.8215,1.12352,1.66432,1.25576,0.8665,0.41538,0.45376,0.21446,1.93256,3.11125,2.10058,0.000107703,0.000107703,0.000107703
5,101.755,1.08317,1.44565,1.2316,0.64641,0.38671,0.42095,0.21028,1.85786,3.18475,2.06179,0.000106604,0.000106604,0.000106604
6,120.123,1.04637,1.27385,1.18505,0.6647,0.34061,0.42623,0.2045,1.80411,3.23059,1.98699,0.000105506,0.000105506,0.000105506
7,138.446,1.01322,1.21184,1.17118,0.49435,0.40991,0.48188,0.27155,1.74864,3.12517,1.93812,0.000104407,0.000104407,0.000104407
8,156.932,0.98576,1.16707,1.19412,0.63842,0.37058,0.44154,0.23763,1.78018,3.06349,1.96448,0.000103308,0.000103308,0.000103308
9,174.83,0.98665,1.08621,1.15529,0.47689,0.42573,0.47331,0.25717,1.78573,2.94783,2.0268,0.000102209,0.000102209,0.000102209
10,193.62,0.93687,1.03224,1.13951,0.46791,0.49248,0.50683,0.28413,1.76451,3.04884,1.9414,0.00010111,0.00010111,0.00010111
11,212.998,0.9289,1.02539,1.13868,0.68766,0.44362,0.47461,0.27288,1.76705,3.16032,1.92533,0.000100011,0.000100011,0.000100011
12,232.379,0.9154,0.9684,1.12099,0.72095,0.45838,0.50802,0.28348,1.78278,2.9972,1.98004,9.89121e-05,9.89121e-05,9.89121e-05
13,251.52,0.88659,0.92809,1.11744,0.67831,0.4572,0.49185,0.28747,1.77892,3.15163,2.01508,9.78132e-05,9.78132e-05,9.78132e-05
14,270.714,0.83654,0.87703,1.08984,0.72522,0.4323,0.48625,0.26333,1.79302,3.20694,1.9849,9.67143e-05,9.67143e-05,9.67143e-05
15,289.874,0.84578,0.91474,1.11177,0.52488,0.37735,0.46596,0.26152,1.71643,3.07619,1.94126,9.56154e-05,9.56154e-05,9.56154e-05
16,309.069,0.88535,0.86167,1.10048,0.49936,0.44366,0.49878,0.27885,1.78596,2.84434,2.00282,9.45165e-05,9.45165e-05,9.45165e-05
