epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1175,1.61395,3.60054,1.8516,0.00774,0.65748,0.04666,0.01815,1.85537,3.87589,2.4011,0.000326087,0.000326087,0.000326087
2,25.7396,1.52037,2.70878,1.71335,0.86756,0.06154,0.13224,0.07158,1.8806,3.37424,2.46855,0.000652892,0.000652892,0.000652892
3,34.5178,1.44201,2.53784,1.64513,0.87032,0.06154,0.10396,0.04251,2.05125,3.78058,2.60673,0.000973097,0.000973097,0.000973097
4,43.2506,1.41937,2.34418,1.61146,0.86235,0.04615,0.08511,0.03588,2.05201,4.19566,2.6945,0.0009703,0.0009703,0.0009703
5,51.9141,1.40411,2.14418,1.58637,0.83323,0.14904,0.19467,0.09676,2.59152,5.61715,3.08265,0.0009604,0.0009604,0.0009604
6,61.0204,1.36723,2.03175,1.54708,0.82531,0.14134,0.13445,0.07061,2.32748,3.35796,2.83211,0.0009505,0.0009505,0.0009505
7,71.6648,1.34087,1.95121,1.53129,0.7875,0.08365,0.1348,0.07112,2.01732,4.34132,2.64041,0.0009406,0.0009406,0.0009406
8,82.1287,1.323,1.85955,1.50931,0.80982,0.12019,0.1181,0.04875,2.02384,3.57212,2.56311,0.0009307,0.0009307,0.0009307
9,90.4893,1.28186,1.74534,1.47938,0.78042,0.14131,0.13773,0.0718,2.11413,3.40636,2.68658,0.0009208,0.0009208,0.0009208
10,102.671,1.22642,1.69743,1.44903,0.87332,0.11731,0.20273,0.06943,2.03752,3.343,2.63293,0.0009109,0.0009109,0.0009109
11,113.345,1.24402,1.61457,1.46124,0.73692,0.22644,0.18315,0.05997,2.01526,3.39638,2.52601,0.000901,0.000901,0.000901
12,122.889,1.22006,1.544,1.4256,0.76962,0.18269,0.19685,0.10037,1.95599,3.21826,2.53338,0.0008911,0.0008911,0.0008911
13,132.261,1.19882,1.50734,1.40478,0.8369,0.16731,0.23491,0.12534,2.10674,3.21935,2.58448,0.0008812,0.0008812,0.0008812
14,141.188,1.17068,1.49877,1.38663,0.57817,0.24624,0.20496,0.11149,2.21124,3.05556,2.66475,0.0008713,0.0008713,0.0008713
15,149.474,1.169,1.47458,1.40065,0.80869,0.26136,0.23013,0.11793,2.17733,3.13601,2.59761,0.0008614,0.0008614,0.0008614
16,157.767,1.1681,1.43698,1.38791,0.64558,0.33319,0.27864,0.15642,2.07981,2.9303,2.57769,0.0008515,0.0008515,0.0008515
17,165.958,1.10595,1.26406,1.35267,0.65716,0.29309,0.25322,0.14265,1.96009,2.91932,2.46963,0.0008416,0.0008416,0.0008416
18,174.224,1.07343,1.22331,1.32533,0.86297,0.22282,0.28345,0.15346,1.80546,3.21692,2.25624,0.0008317,0.0008317,0.0008317
19,182.415,1.15796,1.30199,1.37823,0.87613,0.20613,0.27828,0.12931,2.0818,3.25551,2.51046,0.0008218,0.0008218,0.0008218
